region	Oceania	#D270B2
region	Eastern Asia	#7A1F6B
region	Southeastern Asia	#A35CB5
region	Western Asia	#CC99FF
region	Northern Europe	#2E1F7A
region	Western Europe	#637EBC
region	Southern Europe	#99DDFF
region	Western Africa	#2E7A1F
region	Eastern Africa	#85BC5C
region	Southern Africa	#DDFF99
region	Central America	#7A7A1F
region	South America	#7A5B1F
region	Caribbean	#7A3D1F
region	North America	#7A1F1F

country	Australia	#D270B2
country	Hong Kong	#7A1F6B
country	China	#A64796
country	Japan	#D270C2
country	South Korea	#FF99EE
country	Indonesia	#6B1F7A
country	Singapore	#AC5CBC
country	Thailand	#EE99FF
country	United Arab Emirates	#4C1F7A
country	Jordan	#6C3D9B
country	Israel	#8C5CBC
country	Palestine	#AC7ADD
country	Turkey	#CC99FF
country	Ireland	#2E1F7A
country	United Kingdom	#423390
country	Denmark	#5747A6
country	Sweden	#6C5CBC
country	Norway	#8070D2
country	Finland	#9584E8
country	Iceland	#AA99FF
country	France	#1F2E7A
country	Switzerland	#334290
country	Austria	#4757A6
country	Belgium	#5C6CBC
country	Germany	#7080D2
country	Netherlands	#8495E8
country	Sint Maarten	#99AAFF
country	Spain	#1F5C7A
country	Portugal	#3D7C9B
country	Italy	#5C9CBC
country	Serbia	#7ABCDD
country	Slovenia	#99DDFF
country	Senegal	#2E7A1F
country	Nigeria	#AAFF99
country	Zimbabwe	#3D7A1F
country	Mozambique	#BBFF99
country	South Africa	#5C7A1F
country	Lesotho	#DDFF99
country	Mexico	#D2D270
country	Brazil	#7A6B1F
country	Peru	#FFEE99
country	Dominican Republic	#D2A170
country	USA-Southwest	#7A1F1F
country	USA-Southeast	#903333
country	USA	#A64747
country	USA-West	#BC5C5C
country	USA-Northeast	#D27070
country	USA-Midwest	#E88484
country	Canada	#663300

division	Australia	#BC5C9C
division	Hong Kong	#7A1F6B
division	China	#A64796
division	Japan	#D270C2
division	South Korea	#FF99EE
division	Indonesia	#6B1F7A
division	Singapore	#AC5CBC
division	Thailand	#EE99FF
division	United Arab Emirates	#4C1F7A
division	Jordan	#6C3D9B
division	Israel	#8C5CBC
division	Palestine	#AC7ADD
division	Turkey	#CC99FF
division	Ireland	#2E1F7A
division	Wales	#3B2C88
division	England	#493A97
division	Northern Ireland	#5747A6
division	Scotland	#6555B5
division	Denmark	#7262C3
division	Sweden	#8070D2
division	Norway	#8E7DE1
division	Finland	#9C8BF0
division	Iceland	#AA99FF
division	France	#1F2E7A
division	Switzerland	#334290
division	Austria	#4757A6
division	Belgium	#5C6CBC
division	Germany	#7080D2
division	Netherlands	#8495E8
division	Sint Maarten	#99AAFF
division	Spain	#1F5C7A
division	Portugal	#3D7C9B
division	Italy	#5C9CBC
division	Serbia	#7ABCDD
division	Slovenia	#99DDFF
division	Senegal	#2E7A1F
division	Nigeria	#AAFF99
division	Zimbabwe	#3D7A1F
division	Mozambique	#BBFF99
division	South Africa	#5C7A1F
division	Lesotho	#DDFF99
division	Mexico	#BCBC5C
division	Brazil	#7A6B1F
division	Peru	#FFEE99
division	Dominican Republic	#BC8C5C
division	Texas	#7A1F1F
division	New Mexico	#7C2121
division	Arizona	#7E2323
division	Oklahoma	#812525
division	Puerto Rico	#832828
division	Florida	#862A2A
division	Louisiana	#882C2C
division	Mississippi	#8B2E2E
division	South Carolina	#8D3131
division	Georgia	#903333
division	Arkansas	#923535
division	Alabama	#953737
division	Tennessee	#973A3A
division	North Carolina	#9A3C3C
division	Virginia	#9C3E3E
division	Kentucky	#9E4040
division	Northern Mariana Islands	#A14343
division	Hawaii	#A34545
division	California	#A64747
division	Utah	#A84949
division	Colorado	#AB4C4C
division	Nevada	#AD4E4E
division	Wyoming	#B05050
division	Oregon	#B25252
division	Washington	#B55555
division	Alaska	#B75757
division	Delaware	#BA5959
